presenid,posterid,star,date
A1-1,1,3,1
A1-2,2,3,1
A1-4,3,3,1
A2-2,4,3,1
A2-3,5,3,1
A2-4,6,3,1
A2-5,7,3,1
A4-1,8,3,1
A4-2,9,3,1
A4-3,10,3,1
A4-4,11,4,1
A4-5,12,1,1
B1-1,13,1,1
B1-2,14,3,1
B2-2,15,3,1
B2-4,16,4,1
B2-5,17,4,1
B2-6,18,1,1
B3-3,19,1,1
B3-4,20,4,1
B3-5,21,3,1
B3-6,22,3,1
B4-1,23,4,1
B4-2,24,4,1
B4-3,25,1,1
B4-4,26,1,1
B4-5,27,3,1
C1-2,28,3,1
C1-3,29,4,1
C1-5,30,4,1
C1-6,31,1,1
C2-4,32,1,1
C3-1,33,3,1
C3-2,34,3,1
C3-3,35,4,1
C3-4,36,4,1
C4-1,37,1,1
C4-2,38,1,1
C4-3,39,3,1
D1-3,40,3,1
D1-4,41,4,1
D1-5,42,4,1
D1-6,43,1,1
D2-1,44,1,1
D2-5,45,4,1
D4-1,46,3,1
D4-2,47,3,1
D4-3,48,4,1
E1-1,49,4,1
E1-2,50,1,1
E1-3,51,1,1
E1-4,52,3,1
E1-5,53,3,1
E1-6,54,4,1
E2-1,55,4,1
E2-2,56,1,1
E2-3,57,1,1
E2-4,58,4,1
E3-2,59,3,1
E3-3,60,3,1
E3-4,61,1,1
E3-6,62,1,1
E4-1,63,1,1
E4-2,64,1,1
E4-3,65,1,1
E4-4,66,1,1
F1-2,67,1,1
F1-3,68,1,1
F1-4,69,1,1
F1-5,70,1,1
F1-6,71,1,1
F2-5,72,1,1
F2-6,73,3,1
F3-2,74,3,1
F3-3,75,1,1
F3-4,76,1,1
F3-5,77,3,1
F4-1,78,3,1
F4-2,79,1,1
F4-3,80,1,1
F5-1,81,3,1
P1-1,82,3,1
P1-2,83,1,1
P1-3,84,1,1
P1-4,85,3,1
P1-5,86,3,1
P2-1,87,1,1
P2-2,88,1,1
P2-3,89,3,1
P2-4,90,3,1
P2-5,91,1,1
P3-1,92,1,1
P3-2,93,3,1
P3-3,94,3,1
P3-4,95,1,1
P3-5,96,1,1
X3-4,97,3,1
X3-5,98,3,1
X3-6,99,1,1
X3-7,100,1,1
X3-8,101,3,1
X3-9,102,3,1
X3-10,103,2,1
X3-11,104,2,1
X3-12,105,2,1
X3-13,106,2,1
X3-14,107,2,1
X3-15,108,2,1
X3-16,109,1,1
X3-17,110,1,1
X3-18,111,1,1
X3-19,112,1,1
X3-20,113,1,1
X3-21,114,1,1
X3-22,115,1,1
X3-23,116,1,1
A5-1,117,3,2
A5-2,118,3,2
A5-5,119,3,2
B5-1,120,3,2
B5-2,121,3,2
C5-1,122,3,2
C5-2,123,3,2
C5-3,124,3,2
C5-4,125,3,2
C5-5,126,3,2
C5-6,127,4,2
D5-2,128,1,2
D5-3,129,1,2
D5-5,130,3,2
E5-1,131,3,2
E5-4,132,4,2
E5-5,133,4,2
F5-1,134,1,2
F5-5,135,1,2
F5-6,136,4,2
B6-2,137,3,2
B6-3,138,3,2
B6-5,139,4,2
B6-6,140,4,2
C6-1,141,1,2
C6-2,142,1,2
C6-3,143,3,2
D6-1,144,3,2
D6-2,145,4,2
D6-3,146,4,2
E6-1,147,1,2
E6-2,148,1,2
E6-3,149,3,2
E6-4,150,3,2
E6-5,151,4,2
F6-1,152,4,2
P4-1,153,1,2
P4-2,154,1,2
P4-3,155,3,2
P4-4,156,3,2
B7-1,157,4,2
B7-2,158,4,2
B7-3,159,1,2
B7-5,160,1,2
C7-2,161,4,2
D7-1,162,3,2
E7-2,163,3,2
E7-3,164,4,2
E7-4,165,4,2
E7-5,166,1,2
F7-2,167,1,2
F7-4,168,3,2
A8-1,169,3,2
A8-2,170,4,2
A8-4,171,4,2
A8-5,172,1,2
B8-1,173,1,2
B8-2,174,4,2
B8-5,175,3,2
B8-6,176,3,2
C8-4,177,1,2
D8-2,178,1,2
D8-5,179,1,2
D8-6,180,1,2
E8-1,181,1,2
F8-1,182,1,2
F8-2,183,1,2
F8-4,184,1,2
F8-5,185,1,2
F8-6,186,1,2
A9-3,187,1,2
B9-2,188,1,2
B9-3,189,3,2
B9-4,190,3,2
B9-5,191,1,2
B9-6,192,1,2
C9-1,193,3,2
C9-2,194,3,2
C9-4,195,1,2
D9-1,196,1,2
D9-3,197,3,2
E9-1,198,3,2
E9-3,199,1,2
E9-4,200,1,2
E9-5,201,3,2
E9-6,202,3,2
F9-1,203,1,2
F9-3,204,1,2
X3-24,205,3,2
X3-25,206,3,2
X3-26,207,1,2
X3-27,208,1,2
X3-28,209,3,2
X3-29,210,3,2
X3-30,211,1,2
X3-31,212,1,2
X3-32,213,3,2
X3-33,214,3,2
X3-34,215,1,2
X3-35,216,1,2
X3-36,217,3,2
X3-37,218,3,2
X3-38,219,2,2
X3-39,220,2,2
X3-40,221,2,2
X3-41,222,2,2
X3-42,223,2,2
X3-43,224,2,2
X3-44,225,1,2
X3-45,226,1,2
X3-46,227,1,2
X3-47,228,1,2
X3-48,229,1,2
X3-49,230,1,2
X3-50,231,1,2
X3-51,232,1,2
